name,patronymic,surname,birthday,login,password,responsibilities,state,passport_series,passport_num,issued_by,issue_date,country,region,location,phone_number1,phone_number2,phone_number3
Aldrich,Invalid character class first,Alenikov,14/04/1982,aalenikov0@npr.org,LoYbbS8S,Senior Quality Engineer,on duty,9736,070952,Sales,25/04/1954,United States,Montana,Bozeman,89713707031,89605492813,89704368304
Clyve,Invalid character class first,Gascone,04/06/1998,cgascone1@irs.gov,5mzyCt9Tit,Marketing Manager,on duty,5587,518481,Engineering,28/07/1991,United States,Texas,College Station,89354863594,89490250643,89205302873
Eziechiele,Invalid character class first,Pevreal,18/02/1962,epevreal2@wiley.com,R4rNKX,Associate Professor,on duty,5669,008546,Support,06/06/1966,United States,New York,Hicksville,89688329779,89497423473,89333316981
Sibyl,Invalid character class first,Verlander,06/04/1985,sverlander3@fastcompany.com,Izwi7RHGkY,GIS Technical Architect,on duty,9782,012348,Services,03/06/1969,United States,Indiana,Fort Wayne,89058271135,89955990489,89065577652
Karena,Invalid character class first,Frazer,29/02/1984,kfrazer4@cnn.com,ZdDyKGJpbG,Budget/Accounting Analyst III,on duty,1976,909123,Training,10/09/1991,United States,Virginia,Norfolk,89425859631,89655051920,89957021798
Rosalynd,Invalid character class first,Riba,18/11/1993,rriba5@youtu.be,CiurPrKjr,Junior Executive,maternity leave,3420,838567,Engineering,08/06/1972,United States,Kentucky,Louisville,89364684755,89484296666,89346173793
Kaitlynn,Invalid character class first,Moraleda,28/12/1996,kmoraleda6@oakley.com,4q4VhjWQ0Mv8,Information Systems Manager,on duty,4146,694998,Product Management,22/07/1977,United States,District of Columbia,Washington,89560988359,89467872226,89663458617
Mickie,Invalid character class first,Howchin,27/08/1969,mhowchin7@si.edu,dkOXiAGYpatO,Help Desk Operator,maternity leave,7219,634370,Training,15/08/1996,United States,Indiana,Indianapolis,89345681742,89359657920,89792648794
Sigismond,Invalid character class first,Lochet,29/12/1996,slochet8@sbwire.com,x0e1X4zfD8Z7,Mechanical Systems Engineer,vacation,5513,037286,Marketing,14/11/1996,United States,Kentucky,Louisville,89276604496,89615648822,89233802015
Bree,Invalid character class first,Cheyney,24/07/1993,bcheyney9@rambler.ru,xjwhDyIj,Software Test Engineer I,on duty,3236,533720,Support,23/11/1962,United States,Kentucky,Louisville,89297654568,89249688444,89058499327
